Chromosome_1    CM012081.2
Chromosome_1A   CM012082.2
Chromosome_2    CM012083.2
Chromosome_3    CM012084.2
Chromosome_4    CM012085.2
Chromosome_4A   CM012086.2
Chromosome_5    CM012087.2
Chromosome_6    CM012088.2
Chromosome_7    CM012089.2
Chromosome_8    CM012090.2
Chromosome_9    CM012091.2
Chromosome_10   CM012092.2
Chromosome_11   CM012093.2
Chromosome_12   CM012094.2
Chromosome_13   CM012095.2
Chromosome_14   CM012096.2
Chromosome_15   CM012097.2
Chromosome_16   CM012098.2
Chromosome_17   CM012099.2
Chromosome_18   CM012100.2
Chromosome_19   CM012101.2
Chromosome_20   CM012102.2
Chromosome_21   CM012103.2
Chromosome_22   CM012104.2
Chromosome_23   CM012105.2
Chromosome_24   CM012106.2
Chromosome_25   CM012107.2
Chromosome_26   CM012108.2
